Rank,Word,Score,In Answerlist
146,moler,11596.0,No
147,pilea,11594.5,No
148,uraei,11593.0,No
149,adret,11590.5,No
150,marle,11587.5,No
151,dater,11582.0,No
152,hoaed,11582.0,No
153,pilae,11578.5,No
154,carne,11575.5,No
155,pater,11575.0,No
156,perai,11574.0,No
157,lores,11573.0,No
158,redia,11573.0,No
159,noser,11570.5,No
160,deray,11566.5,No
161,riley,11566.0,No
162,sayer,11566.0,No
163,pored,11562.5,No
164,abore,11561.5,No
165,rouen,11559.5,No
166,caner,11556.0,No
167,crate,11555.5,Yes
168,derat,11548.0,No
169,arles,11546.5,No
170,slane,11546.0,No
171,learn,11543.0,Yes
172,poena,11543.0,No
173,reast,11543.0,No
174,reais,11541.5,No
175,dolie,11541.0,No
176,alure,11538.5,No
177,canoe,11533.0,Yes
178,irade,11533.0,No
179,tiler,11532.0,No
180,royet,11531.5,No
181,arsed,11531.0,No
182,dorse,11531.0,No
183,diane,11529.0,No
184,loure,11528.0,No
185,sired,11527.0,No
186,trade,11527.0,Yes
187,alder,11521.0,No
188,toyer,11516.0,No
189,neato,11515.5,No
190,rones,11515.5,No
191,roles,11513.5,No
192,aster,11511.5,No
193,cater,11511.5,Yes
194,ronde,11511.5,No
195,store,11509.5,Yes
196,lares,11506.0,No
197,soled,11504.5,No
198,crane,11503.5,Yes
199,snore,11501.5,Yes
200,armet,11499.5,No
201,cored,11499.0,No
202,rosed,11498.0,No
203,slier,11496.5,No
204,pared,11495.5,No
205,resay,11495.0,No
206,minae,11492.0,No
207,toeas,11491.0,No
208,maleo,11489.0,No
209,mater,11486.5,No
210,noise,11480.5,Yes
211,resat,11476.5,No
212,alert,11475.0,Yes
213,peola,11471.5,No
214,rotes,11471.0,No
215,oilet,11461.5,No
216,urate,11461.5,No
217,corse,11460.5,No
218,parse,11457.0,Yes
219,scrae,11455.5,No
220,ropey,11454.0,No
221,borel,11449.0,No
222,ranes,11448.5,No
223,monie,11447.5,No
224,louie,11447.0,No
225,rales,11446.5,No
226,molie,11445.5,No
227,soree,11444.5,No
228,lader,11443.5,No
229,neosa,11443.5,No
230,early,11441.5,Yes
231,saned,11439.5,No
232,seron,11438.0,No
233,liner,11437.0,Yes
234,morse,11435.5,No
235,comae,11434.0,No
236,cared,11432.0,No
237,rased,11431.0,No
238,borne,11430.0,Yes
239,ahole,11426.5,No
240,nelia,11425.5,No
241,moile,11420.0,No
242,toper,11420.0,No
243,anode,11419.5,Yes
244,deary,11419.0,No
245,aures,11418.5,No
246,senor,11418.5,No
247,anise,11412.0,No
248,daine,11411.5,No
249,boner,11410.5,No
250,tired,11410.0,No
251,spaer,11407.5,No
252,rates,11404.0,No
253,stale,11403.0,Yes
254,thrae,11402.5,No
255,ramet,11399.5,No
256,nares,11397.0,No
257,ourey,11397.0,No
258,sated,11395.0,No
259,trace,11395.0,Yes
260,ruote,11394.0,No
261,carse,11393.5,No
262,peart,11393.5,No
263,liter,11392.5,No
264,toned,11389.5,No
265,toled,11387.5,No
266,sacre,11387.0,No
267,doser,11386.5,No
268,earnt,11386.0,No
269,prase,11385.0,No
270,tamer,11384.0,Yes
271,royne,11381.0,No
272,manie,11380.5,No
273,poser,11379.5,Yes
274,denar,11378.0,No
275,rouse,11377.5,Yes
276,saree,11377.5,No
277,beira,11377.0,No
278,share,11372.0,Yes
279,stear,11372.0,No
280,aerie,11371.0,No
281,marse,11368.5,No
282,stane,11366.0,No
283,trine,11364.0,No
284,amole,11362.0,No
285,sarge,11359.5,No
286,haole,11358.0,No
287,teras,11354.5,No
288,maile,11353.0,No
289,taper,11353.0,Yes
290,layer,11352.0,Yes
291,rayle,11351.0,No
292,saice,11349.5,No
293,acoel,11344.5,No
294,soger,11342.0,No
295,aeons,11341.5,No
296,baler,11341.5,Yes
297,honer,11340.5,No
298,spare,11338.0,Yes
299,trape,11328.5,No
300,petar,11326.5,No
301,acone,11325.5,No
302,laten,11324.5,No
303,litre,11323.0,No
304,loper,11323.0,No
305,arpen,11318.0,No
306,goner,11317.0,Yes
307,oaker,11314.5,No
308,rayne,11314.0,No
309,soave,11313.0,No
310,rance,11312.5,No
311,serin,11310.5,No
312,doley,11310.0,No
313,setal,11309.0,No
314,scare,11308.0,Yes
315,sober,11307.5,Yes
316,blaer,11306.5,No
317,ready,11306.5,Yes
318,poney,11305.0,No
319,poley,11303.0,No
320,tenor,11301.5,Yes
321,brane,11291.0,No
322,poise,11289.5,Yes
323,lamer,11287.0,No
324,bored,11286.5,No
325,beray,11283.5,No
326,niter,11283.5,No
327,ordie,11282.0,No
328,eiron,11280.5,No
329,dores,11280.0,No
330,afore,11277.0,No
331,tread,11276.0,Yes
332,sager,11275.0,No
333,raike,11274.5,No
334,drole,11273.5,No
335,pores,11273.0,No
336,paseo,11272.5,No
337,haler,11271.5,No
338,osier,11268.0,No
339,laide,11267.5,No
340,prole,11266.5,No
341,apter,11263.5,No
342,pearl,11262.0,Yes
343,bonie,11260.0,No
344,riled,11253.5,No
345,dearn,11250.0,No
346,grate,11249.5,Yes
347,caser,11249.0,No
348,ramen,11249.0,Yes
349,boite,11247.5,No
350,psoae,11247.5,No
351,stire,11247.0,No
352,saute,11246.0,Yes
353,lacer,11242.5,No
354,targe,11242.5,No
355,coney,11241.5,No
356,saber,11240.5,No
357,coley,11239.5,No
358,blare,11237.0,Yes
359,drone,11236.5,Yes
360,leany,11231.0,No
361,airer,11230.0,No
362,volae,11230.0,No
363,prone,11229.5,Yes
364,hater,11229.0,Yes
365,urase,11227.5,No
366,laned,11225.5,No
367,faire,11224.0,No
368,maser,11224.0,No
369,noria,11223.5,No
370,paise,11222.5,No
371,tried,11220.5,Yes
372,bared,11219.5,No
373,palet,11217.5,No
374,rinse,11217.0,Yes
375,money,11216.5,Yes
376,serac,11215.0,No
377,moley,11214.5,No
378,nitre,11214.0,No
379,dares,11213.0,No
380,sonde,11213.0,No
381,leant,11212.5,Yes
382,solde,11211.0,No
383,cores,11209.5,No
384,tears,11207.0,No
385,pares,11206.0,No
386,armed,11205.5,No
387,gater,11205.5,No
388,earst,11204.0,No
389,sorta,11198.5,No
390,lutea,11197.0,No
391,gored,11193.0,No
392,regia,11190.5,No
393,trode,11189.5,No
394,nosey,11189.0,Yes
395,relit,11187.5,No
396,mores,11184.5,No
397,lated,11181.0,No
398,aiver,11179.0,No
399,reals,11178.5,No
400,horse,11178.0,Yes
401,namer,11178.0,No
402,plore,11175.5,No
403,sider,11175.0,No
404,motey,11172.0,No
405,sabre,11171.0,No
406,rayed,11170.5,No
407,oiled,11167.5,No
408,crone,11166.0,Yes
409,baile,11165.5,No
410,cosie,11165.5,No
411,coure,11164.5,No
412,outer,11164.0,Yes
413,laree,11163.5,No
414,ainee,11161.0,No
415,arced,11161.0,No
416,ursae,11161.0,No
417,aimed,11160.5,No
418,argle,11160.0,No
419,locie,11159.0,No
420,redan,11157.0,No
421,react,11156.0,Yes
422,gorse,11154.5,No
423,acred,11154.0,No
424,olpae,11153.5,No
425,hared,11149.5,No
426,soral,11149.5,No
427,coder,11147.0,No
428,large,11145.5,Yes
429,feria,11145.0,No
430,diner,11144.0,Yes
431,glare,11143.5,Yes
432,cares,11142.5,No
433,reans,11141.5,No
434,roped,11141.5,No
435,noted,11139.0,No
436,salue,11139.0,No
437,repay,11138.5,Yes
438,piner,11137.0,No
439,loipe,11136.0,No
440,piler,11135.0,No
441,maise,11134.0,No
442,nerol,11134.0,No
443,manet,11131.0,No
444,losen,11129.0,No
445,poake,11129.0,No
446,roues,11126.5,No
447,rowie,11126.0,No
448,conte,11124.5,No
449,taber,11123.5,No
450,moder,11122.0,No
451,tires,11120.5,No
452,repat,11120.0,No
453,samey,11119.5,No
454,soyle,11119.5,No
455,mares,11117.5,No
456,reamy,11117.5,No
457,naled,11114.5,No
458,sonar,11111.0,Yes
459,lears,11110.0,No
460,slade,11109.0,No
461,solar,11109.0,Yes
462,noema,11108.0,No
463,ranee,11106.0,No
464,matey,11105.0,Yes
465,shoer,11104.0,No
466,saker,11102.0,No
467,tones,11100.0,No
468,monte,11099.5,No
469,loave,11099.0,No
470,silen,11098.5,No
471,toles,11098.0,No
472,forte,11096.5,Yes
473,agone,11095.0,No
474,outre,11094.5,No
475,pareu,11094.5,No
476,belar,11093.0,No
477,roble,11092.5,No
478,risen,11092.0,Yes
479,rorie,11091.5,No
480,preta,11090.5,No
481,areic,11089.0,No
482,oarer,11089.0,No
483,panel,11088.0,Yes
484,range,11088.0,Yes
485,sepia,11087.0,Yes
486,rokey,11086.0,No
487,toaze,11085.5,No
488,plate,11084.0,Yes
489,tosed,11082.5,No
490,sonce,11081.0,No
491,yores,11076.5,No
492,raped,11074.5,No
493,padre,11074.0,No
494,zonae,11071.0,No
495,anted,11070.5,No
496,kiore,11069.0,No
497,ramse,11067.0,No
498,rathe,11066.0,No
499,stole,11065.5,Yes
500,nacre,11064.0,No
501,forel,11063.5,No
502,amine,11062.5,No
503,lager,11061.0,Yes
504,raced,11061.0,No
505,coyer,11055.5,No
506,liney,11055.5,No
507,isnae,11052.5,No
508,payer,11052.0,Yes
509,toker,11052.0,No
510,miner,11048.5,Yes
511,heart,11047.5,Yes
512,prose,11047.5,Yes
513,miler,11046.5,No
514,yearn,11046.5,Yes
515,ayres,11045.5,No
516,pieta,11045.5,No
517,patel,11043.5,No
518,rodes,11039.5,No
519,baser,11036.5,No
520,shore,11034.5,Yes
521,hoser,11033.5,No
522,mante,11032.5,No
523,plane,11032.0,Yes
524,abler,11031.0,No
525,tales,11031.0,No
526,least,11030.5,Yes
527,doper,11030.0,No
528,boney,11029.0,Yes
529,citer,11029.0,No
530,elain,11028.5,No
531,stone,11028.5,Yes
532,aides,11027.5,No
533,naice,11026.5,No
534,segar,11026.5,No
535,paten,11024.5,No
536,recta,11024.0,No
537,repla,11022.5,No
538,motel,11022.0,Yes
539,opera,11022.0,Yes
540,eatin,11021.0,No
541,oware,11018.0,No
542,sayne,11015.5,No
543,tased,11015.5,No
544,afire,11014.5,Yes
545,farle,11014.5,No
546,outie,11013.5,No
547,toran,11013.5,No
548,novae,11013.0,No
549,cadre,11010.5,No
550,socle,11010.0,No
551,terga,11010.0,No
552,bolet,11008.5,No
553,erica,11004.5,No
554,miter,11004.0,No
555,moten,11003.0,No
556,nears,11001.0,No
557,reman,11000.5,No
558,spore,11000.5,Yes
559,posey,10998.0,No
560,arets,10997.5,No
561,bores,10997.0,No
562,beano,10996.5,No
563,denay,10996.5,No
564,delay,10994.5,Yes
565,genoa,10994.5,No
566,retin,10994.5,No
567,paeon,10993.5,No
568,borde,10993.0,No
569,tolar,10992.0,No
570,trope,10991.0,Yes
571,comer,10990.5,No
572,poled,10990.5,No
573,bohea,10987.5,No
574,vaire,10987.5,No
575,eolid,10987.0,No
576,losed,10985.5,No
577,madre,10985.5,No
578,taker,10985.0,Yes
579,peaty,10983.0,No
580,plier,10982.5,Yes
581,hoied,10982.0,No
582,seare,10981.5,No
583,poset,10979.5,No
584,sower,10978.0,Yes
585,logie,10977.5,No
586,crena,10975.0,No
587,noule,10975.0,No
588,recal,10975.0,No
589,clear,10974.5,Yes
590,auger,10973.5,No
591,score,10970.5,Yes
592,smore,10970.0,No
593,roany,10969.5,No
594,samel,10969.5,No
595,coria,10969.0,No
596,anime,10968.0,Yes
597,rines,10966.0,No
598,riles,10964.0,No
599,tesla,10963.5,No
600,realm,10963.0,Yes
601,touse,10962.0,No
602,loden,10960.0,No
603,coper,10959.5,No
604,honey,10959.0,Yes
605,lotes,10958.5,No
606,frate,10957.5,No
607,holey,10957.0,No
608,sined,10957.0,No
609,dealt,10956.5,Yes
610,siled,10955.0,No
611,lepra,10954.0,No
612,bosie,10953.0,No
613,anger,10950.5,Yes
614,samen,10950.5,No
615,poted,10948.0,No
616,moria,10944.0,No
617,hoise,10943.5,No
618,sorer,10943.5,No
619,reist,10943.0,No
620,pacer,10942.5,No
621,carpe,10940.0,No
622,retam,10940.0,No
623,ranke,10939.0,No
624,drape,10938.5,Yes
625,doree,10937.5,No
626,lanes,10936.0,No
627,throe,10936.0,No
628,cosey,10934.5,No
629,mitre,10934.5,No
630,moper,10934.5,No
631,neram,10933.0,No
632,ulnae,10933.0,No
633,teloi,10932.5,No
634,lande,10932.0,No
635,tries,10931.0,No
636,bares,10930.0,No
637,oorie,10930.0,No
638,cadie,10929.5,No
639,coned,10929.0,No
640,stade,10929.0,No
641,shale,10928.0,Yes
642,coled,10927.0,No
643,tride,10927.0,No
644,barde,10926.0,No
645,paned,10925.5,No
646,mired,10924.5,No
647,paled,10923.5,No
648,horde,10923.0,Yes
649,orles,10923.0,No
650,atoke,10922.0,No
651,rites,10921.5,No
652,afret,10918.5,No
653,apode,10918.5,No
654,lased,10918.5,No
655,birle,10917.5,No
656,loran,10916.5,No
657,coset,10916.0,No
658,porge,10912.5,No
659,sited,10912.5,No
660,robed,10912.0,No
661,ariot,10911.5,No
662,salep,10911.0,No
663,sawer,10911.0,No
664,mosey,10909.5,No
665,spate,10909.0,No
666,eorls,10906.5,No
667,aside,10904.0,Yes
668,crine,10903.5,No
669,gores,10903.5,No
670,loued,10903.5,No
671,yeard,10903.0,No
672,moled,10902.0,No
673,timer,10901.5,Yes
674,tomen,10900.5,No
675,blore,10899.5,No
676,older,10897.5,Yes
677,seity,10897.0,No
678,shear,10897.0,Yes
679,siree,10895.0,No
680,apres,10894.5,No
681,meaty,10894.5,Yes
682,resto,10894.5,No
683,danse,10894.0,No
684,spale,10894.0,No
685,delta,10893.5,Yes
686,laden,10893.0,Yes
687,asper,10892.5,No
688,caper,10892.5,Yes
689,noles,10892.0,No
690,safer,10891.5,Yes
691,ricey,10891.0,No
692,satem,10890.0,No
693,laker,10888.0,No
694,pelta,10886.5,No
695,coted,10884.5,No
696,ureal,10884.0,No
697,cameo,10883.5,Yes
698,resit,10882.5,No
699,pated,10881.0,No
700,poste,10881.0,No
701,urena,10881.0,No
702,mealy,10879.5,Yes
703,raged,10879.5,No
704,rugae,10879.5,No
705,eliad,10879.0,No
706,tuner,10879.0,No
707,resol,10878.5,No
708,crame,10877.5,No
709,maerl,10877.5,No
710,nosed,10876.5,No
711,rowet,10876.5,No
712,arret,10875.0,No
713,koine,10875.0,No
714,stela,10874.5,No
715,folie,10872.5,No
716,sayed,10872.0,No
717,sured,10872.0,No
718,entia,10870.5,No
719,agile,10869.5,Yes
720,crape,10868.0,No
721,louse,10865.0,Yes
722,acres,10864.5,No
723,scale,10864.0,Yes
724,spear,10863.0,Yes
725,caned,10862.0,No
726,urite,10861.5,No
727,biner,10861.0,No
728,ceorl,10861.0,No
729,lacey,10861.0,No
730,tower,10861.0,Yes
731,grone,10860.0,No
732,hares,10860.0,No
733,moted,10859.5,No
734,merit,10858.5,Yes
735,sedan,10858.5,Yes
736,braes,10858.0,No
737,phare,10858.0,No
738,spane,10857.0,No
739,presa,10856.5,No
740,rahed,10855.5,No
741,renga,10855.5,No
742,macer,10854.0,No
743,rhone,10852.0,No
744,ropes,10852.0,No
745,flare,10851.5,Yes
746,reate,10851.0,No
747,notes,10849.5,No
748,aunes,10848.5,No
749,parge,10845.5,No
750,lacet,10842.5,No
751,meany,10842.5,No
752,wrate,10842.5,No
753,moree,10842.0,No
754,shier,10841.5,No
755,mesia,10841.0,No
756,waler,10841.0,No
757,steal,10840.5,Yes
758,tined,10840.0,No
759,alike,10839.5,Yes
760,earls,10839.5,No
761,penal,10839.5,Yes
762,curie,10838.0,No
763,tiled,10838.0,No
764,maned,10837.0,No
765,gares,10836.5,No
766,botel,10834.5,No
767,fared,10834.0,No
768,rotal,10833.5,No
769,suite,10833.0,Yes
770,garde,10832.5,No
771,smear,10832.5,Yes
772,cedar,10831.5,Yes
773,rince,10830.0,No
774,zaire,10826.5,No
775,eosin,10825.5,No
776,saver,10825.5,No
777,meant,10824.0,Yes
778,beard,10823.5,Yes
779,pried,10823.5,Yes
780,seton,10823.5,No
781,toyed,10822.0,No
782,aruhe,10821.5,No
783,stean,10821.5,No
784,seamy,10819.0,No
785,coste,10817.5,No
786,inter,10817.5,Yes
787,dears,10817.0,No
788,biter,10816.5,No
789,rames,10816.0,No
790,peril,10815.5,Yes
791,alkie,10815.0,No
792,rotan,10814.5,No
793,laers,10814.0,No
794,paste,10814.0,Yes
795,riato,10813.5,No
796,alowe,10813.0,No
797,thale,10811.0,No
798,pears,10810.0,No
799,trema,10809.5,No
800,urine,10809.5,Yes
801,blate,10808.0,No
802,spier,10807.5,No
803,arked,10806.5,No
804,sware,10805.5,No
805,apery,10804.5,No
806,great,10803.5,Yes
807,stile,10803.0,No
808,earns,10802.5,No
809,tapen,10802.5,No
810,lance,10800.0,Yes
811,menta,10800.0,No
812,manse,10798.5,No
813,water,10798.5,Yes
814,farse,10795.5,No
815,petal,10795.0,Yes
816,trice,10795.0,Yes
817,chare,10794.5,No
818,leady,10794.0,No
819,tawer,10794.0,No
820,oiran,10793.5,No
821,regal,10793.5,Yes
822,sidey,10793.5,No
823,mated,10792.5,No
824,moste,10792.5,No
825,moira,10790.5,No
826,regna,10790.5,No
827,derma,10787.5,No
828,apert,10786.0,No
829,barye,10786.0,No
830,prise,10785.0,No
831,rapes,10785.0,No
832,poule,10784.0,No
833,nates,10782.5,No
834,antes,10781.0,No
835,naker,10779.0,No
836,anker,10777.5,No
837,bayer,10776.0,No
838,awner,10775.5,No
839,thane,10774.0,No
840,roked,10773.5,No
841,shire,10772.0,Yes
842,brose,10771.5,No
843,races,10771.5,No
844,roast,10769.0,Yes
845,vireo,10769.0,No
846,leare,10767.5,No
847,rouge,10766.0,Yes
848,hotel,10764.5,Yes
849,lower,10764.0,Yes
850,oaken,10764.0,Yes
851,teals,10763.0,No
852,blear,10762.0,No
853,pager,10761.0,No
854,grade,10760.5,Yes
855,cried,10760.0,Yes
856,marge,10757.0,No
857,torte,10757.0,No
858,piney,10755.5,Yes
859,heard,10753.5,Yes
860,piley,10753.5,No
861,aroid,10752.5,No
862,corbe,10752.5,No
863,caste,10750.5,Yes
864,peasy,10749.0,No
865,feral,10748.0,Yes
866,worse,10747.5,Yes
867,oldie,10747.0,No
868,hoten,10745.5,No
869,erbia,10745.0,No
870,rowel,10745.0,No
871,voter,10744.0,Yes
872,faine,10743.0,No
873,lined,10743.0,No
874,ravey,10742.5,No
875,aspie,10742.0,No
876,miser,10741.5,Yes
877,sorex,10740.5,No
878,septa,10739.0,No
879,spire,10738.0,Yes
880,luter,10737.5,No
881,ripen,10735.5,Yes
882,horme,10734.0,No
883,renos,10733.5,No
884,feart,10732.0,No
885,resin,10732.0,Yes
886,relos,10731.5,No
887,tripe,10728.5,Yes
888,meril,10727.0,No
889,sable,10727.0,No
890,biose,10726.5,No
891,rowen,10726.0,No
892,toped,10726.0,No
893,retag,10725.5,No
894,bosey,10722.0,No
895,brace,10722.0,Yes
896,crise,10721.5,No
897,wared,10719.0,No
898,boned,10716.5,No
899,resod,10716.0,No
900,beisa,10714.0,No
901,rueda,10714.0,No
902,spaed,10713.5,No
903,belay,10711.5,No
904,towie,10710.5,No
905,sorda,10709.5,No
906,taver,10708.5,No
907,doles,10708.0,No
908,homer,10708.0,Yes
909,scire,10708.0,No
910,beaty,10707.0,No
911,metal,10706.5,Yes
912,raked,10706.5,No
913,hayer,10706.0,No
914,reads,10704.5,No
915,after,10704.0,Yes
916,pones,10703.0,No
917,poles,10701.0,No
918,tuile,10701.0,No
919,birse,10698.5,No
920,lited,10698.5,No
921,cager,10697.5,No
922,lawer,10697.0,No
923,moray,10697.0,No
924,moule,10695.5,No
925,souce,10692.0,No
926,yenta,10692.0,No
927,trave,10691.5,No
928,brine,10691.0,Yes
929,eloin,10691.0,No
930,redon,10690.5,No
931,walie,10690.5,No
932,sepal,10690.0,No
933,tamed,10690.0,No
934,tarre,10690.0,No
935,tarte,10690.0,No
936,lento,10689.0,No
937,selah,10687.0,No
938,posed,10685.5,No
939,metro,10685.0,Yes
940,dogie,10684.5,No
941,gomer,10684.5,No
942,porta,10684.5,No
943,troke,10684.0,No
944,clote,10683.0,No
945,gayer,10682.5,Yes
946,onery,10682.0,No
947,argue,10681.0,Yes
948,leats,10681.0,No
949,cadet,10680.0,Yes
950,waite,10680.0,No
951,lover,10678.5,Yes
952,morat,10678.5,No
953,stead,10678.0,Yes
954,resam,10677.5,No
955,hoper,10677.0,No
956,kores,10676.5,No
957,tiger,10675.5,Yes
958,media,10672.0,Yes
959,snead,10670.0,No
960,rudie,10668.0,No
961,hired,10667.0,No
962,dotes,10665.5,No
963,brame,10665.0,No
964,agley,10664.0,No
965,ratio,10664.0,Yes
966,caber,10663.0,No
967,sewar,10662.5,No
968,sidle,10661.5,No
969,adieu,10661.0,No
970,arter,10660.5,No
971,cires,10660.0,No
972,lomed,10660.0,No
973,taped,10659.0,No
974,potes,10658.5,No
975,layed,10658.0,No
976,lured,10658.0,No
977,arete,10655.0,No
978,beany,10655.0,No
979,nerka,10655.0,No
980,poker,10655.0,Yes
981,boree,10654.5,No
982,repot,10653.5,No
983,hosey,10652.0,No
984,nicer,10651.0,Yes
985,dobie,10650.0,No
986,baned,10649.5,No
987,dopey,10648.5,Yes
988,rogue,10648.0,Yes
989,sient,10648.0,No
990,baled,10647.5,No
991,honed,10646.5,No
992,rozet,10646.0,No
993,aglet,10645.5,No
994,harem,10644.5,Yes
995,holed,10644.5,No
996,abode,10643.5,Yes
997,tawie,10643.5,No
998,longe,10642.5,No
999,syren,10642.5,No
1000,earth,10642.0,Yes
1001,foley,10641.5,No
1002,dales,10641.0,No
1003,toter,10641.0,No
1004,roven,10640.5,No
1005,opter,10640.0,No
1006,cones,10639.5,No
1007,pleat,10638.0,Yes
1008,vitae,10638.0,No
1009,coles,10637.5,No
1010,heaty,10637.0,No
1011,fouer,10636.0,No
1012,panes,10636.0,No
1013,poral,10635.5,No
1014,weary,10635.5,Yes
1015,mires,10635.0,No
1016,pales,10634.0,No
1017,abnet,10633.0,No
1018,krone,10633.0,No
1019,rohes,10633.0,No
1020,saser,10632.5,No
1021,drake,10631.5,Yes
1022,ablet,10631.0,No
1023,clone,10631.0,Yes
1024,perea,10631.0,No
1025,azote,10630.5,No
1026,lorel,10630.5,No
1027,acies,10630.0,No
1028,padle,10630.0,No
1029,amies,10629.5,No
1030,leans,10629.0,No
1031,loped,10629.0,No
1032,grace,10628.5,Yes
1033,moeni,10628.0,No
1034,zoner,10627.5,No
1035,amide,10625.5,No
1036,mahoe,10625.5,No
1037,sauce,10625.0,Yes
1038,rimed,10623.0,No
1039,mitey,10622.5,No
1040,robes,10622.5,No
1041,stied,10622.5,No
1042,cosed,10622.0,No
1043,enrol,10621.5,No
1044,seric,10621.0,No
1045,oaked,10620.5,No
1046,olein,10620.0,No
1047,siker,10619.5,No
1048,ancle,10618.5,No
1049,soken,10618.5,No
1050,gamer,10617.5,Yes
1051,noyed,10616.0,No
1052,azole,10615.5,No
1053,perae,10615.0,No
1054,piert,10615.0,No
1055,snied,10614.5,No
1056,cogie,10614.0,No
1057,outen,10613.5,No
1058,years,10613.5,No
1059,moles,10612.5,No
1060,ronne,10612.5,No
1061,lyase,10612.0,No
1062,radge,10612.0,No
1063,fores,10611.5,No
1064,laver,10611.5,No
1065,drome,10610.5,No
1066,monde,10610.5,No
1067,voile,10610.5,No
1068,table,10610.0,Yes
1069,pioye,10607.5,No
1070,sieur,10606.0,No
1071,ringe,10605.5,No
1072,shote,10605.5,No
1073,bated,10605.0,No
1074,molue,10603.5,No
1075,slake,10603.5,No
1076,arene,10603.0,No
1077,bread,10603.0,Yes
1078,aller,10600.5,No
1079,runed,10600.5,No
1080,dates,10598.5,No
1081,ruled,10598.5,No
1082,cider,10597.5,Yes
1083,mosed,10597.0,No
1084,coden,10596.5,No
1085,cotes,10595.0,No
1086,daker,10595.0,No
1087,polar,10595.0,Yes
1088,aiyee,10593.5,No
1089,cabre,10593.5,No
1090,peony,10593.5,No
1091,slyer,10593.5,No
1092,lamed,10593.0,No
1093,sores,10593.0,No
1094,ravel,10592.5,No
1095,riped,10592.0,No
1096,pates,10591.5,No
1097,comet,10590.5,Yes
