Rank,Word,Score,Overall Frequency,Pos1 Freq,Pos2 Freq,Pos3 Freq,Pos4 Freq,Pos5 Freq
63,cater,3040.8,4306,198,304,111,318,212
64,serai,3040.8,4440,365,241,163,162,11
65,crane,3040.0,4150,198,267,306,182,422
66,torse,3039.7999999999997,4277,149,279,163,171,422
67,teary,3037.0,4255,149,241,306,150,364
68,resat,3035.8,4499,105,241,80,162,253
69,coate,3034.7999999999997,4162,198,279,306,139,422
70,earnt,3032.0,4404,72,304,163,182,253
71,reals,3031.6,4486,105,241,306,162,36
72,stire,3028.4,4194,365,77,266,150,422
73,prate,3027.6,4196,141,267,306,139,422
74,alone,3023.0,4247,140,200,243,182,422
75,urase,3021.2,4236,33,267,306,171,422
76,trade,3019.6000000000004,4224,149,267,306,69,422
77,lears,3019.6,4486,87,241,306,150,36
78,aster,3018.2000000000003,4499,140,16,111,318,212
79,trone,3014.3999999999996,4182,149,267,243,182,422
80,least,3014.0,4318,87,241,306,171,253
81,saice,3013.6,4018,365,304,266,150,422
82,scrae,3007.8,4245,365,40,163,162,422
83,sayer,3007.6000000000004,4194,365,304,29,318,212
84,antre,3006.4,4404,140,87,111,150,422
85,react,3005.6,4306,105,241,306,150,253
86,sared,3005.0,4163,365,304,163,318,118
87,leary,3004.3999999999996,4242,87,241,306,150,364
88,setal,3004.3999999999996,4318,365,241,111,162,155
89,prase,3003.8,4135,141,267,306,171,422
90,arets,3003.0,4499,140,267,177,139,36
91,spare,3002.6,4135,365,61,306,150,422
92,reais,3002.4,4440,105,241,306,158,36
93,alure,3001.2000000000003,4284,140,200,165,150,422
94,learn,3000.2,4391,87,241,306,150,130
95,teras,2999.8,4499,149,241,163,162,36
96,porae,2998.8,4220,141,279,163,162,422
97,saute,2998.7999999999997,4068,365,304,165,139,422
98,aeros,2998.6,4523,140,241,163,132,36
99,carne,2997.6,4150,198,304,163,182,422
100,aesir,2996.4,4440,140,241,80,158,212
101,paire,2995.3999999999996,4137,141,304,266,150,422
102,trape,2995.2,4196,149,267,306,50,422
103,laers,2993.2,4486,87,304,177,150,36
104,caser,2991.8,4245,198,304,80,318,212
105,siler,2991.8,4181,365,201,112,318,212
106,terai,2991.0,4501,149,241,163,162,11
107,parle,2986.6,4183,141,304,163,162,422
108,earls,2986.4,4486,72,304,163,162,36
109,spaer,2985.8,4135,365,61,306,318,212
110,parte,2985.2,4196,141,304,163,139,422
111,grate,2984.2,4141,115,267,306,139,422
112,arsey,2984.0,4194,140,267,80,318,364
113,aline,2982.4,4164,140,200,266,182,422
114,atone,2981.6,4260,140,77,243,182,422
115,roset,2980.2,4277,105,279,80,318,253
116,aloes,2980.0,4342,140,200,243,318,36
117,sarge,2980.0,4080,365,304,163,76,422
118,snore,2979.4,4121,365,87,243,150,422
119,oriel,2978.4,4266,41,267,266,318,155
120,liane,2977.6000000000004,4164,87,201,306,182,422
121,trine,2973.8,4099,149,267,266,182,422
122,retia,2971.7999999999997,4501,105,241,111,158,63
123,early,2971.2,4242,72,304,163,162,364
124,toile,2970.0,4098,149,279,266,162,422
125,anole,2969.7999999999997,4247,140,87,243,162,422
126,lacer,2966.6,4293,87,304,56,318,212
127,ranes,2965.7999999999997,4343,105,304,137,318,36
128,steal,2965.2,4318,365,77,177,162,155
129,stole,2965.2,4096,365,77,243,162,422
130,parse,2961.4,4135,141,304,163,171,422
131,leant,2961.3999999999996,4223,87,241,306,182,253
132,blare,2959.2,4098,173,200,306,150,422
133,tales,2958.3999999999996,4318,149,304,112,318,36
134,caner,2957.6,4150,198,304,137,318,212
135,aisle,2957.4,4259,140,201,80,162,422
136,dater,2956.8,4224,111,304,111,318,212
137,scale,2956.4,4064,365,40,306,162,422
138,morae,2955.8,4171,107,279,163,162,422
139,clear,2955.3999999999996,4293,198,200,177,162,212
140,tared,2955.2000000000003,4224,149,304,163,318,118
141,cares,2954.6,4245,198,304,163,318,36
142,renal,2954.6,4391,105,241,137,162,155
143,sager,2954.4,4080,365,304,67,318,212
144,glare,2954.0,4128,115,200,306,150,422
145,peart,2954.0,4196,141,241,306,150,253
146,rayle,2954.0,4242,105,304,29,162,422
147,reans,2953.7999999999997,4343,105,241,306,182,36
148,maire,2952.3999999999996,4088,107,304,266,150,422
149,pater,2952.0,4196,141,304,111,318,212
150,nares,2949.0,4343,37,304,163,318,36
151,loser,2948.8,4264,87,279,80,318,212
152,sabre,2948.8,4050,365,304,56,150,422
153,teals,2948.3999999999996,4318,149,241,306,162,36
154,toner,2947.2,4182,149,279,137,318,212
155,salue,2947.0,4055,365,304,112,82,422
156,thrae,2946.7999999999997,4218,149,144,163,162,422
157,shale,2945.2,3976,365,144,306,162,422
158,toise,2944.8,4050,149,279,266,171,422
159,paler,2944.6,4183,141,304,112,318,212
160,tores,2944.2,4277,149,279,163,318,36
161,marle,2943.6000000000004,4134,107,304,163,162,422
162,frate,2943.6,4060,135,267,306,139,422
163,blaer,2942.3999999999996,4098,173,200,306,318,212
164,ronte,2942.0,4182,105,279,137,139,422
165,tiler,2942.0,4242,149,201,112,318,212
166,adore,2938.7999999999997,4248,140,20,243,150,422
167,relay,2938.7999999999997,4242,105,241,112,162,364
168,heart,2938.3999999999996,4218,69,241,306,150,253
169,irade,2938.2,4165,34,267,306,69,422
170,neral,2937.7999999999997,4391,37,241,163,162,155
171,rance,2937.2,4150,105,304,137,150,422
172,hater,2936.3999999999996,4218,69,304,111,318,212
173,noire,2935.3999999999996,4123,37,279,266,150,422
174,rione,2935.0,4123,105,201,243,182,422
175,toeas,2934.2,4355,149,279,177,162,36
176,slade,2934.0,3982,365,200,306,69,422
177,litre,2933.6,4242,87,201,111,150,422
178,taper,2933.6,4196,149,304,57,318,212
179,irone,2933.0,4123,34,267,243,182,422
180,saber,2932.0,4050,365,304,56,318,212
181,serac,2931.8,4245,365,241,163,162,31
182,reist,2930.8,4194,105,241,266,171,253
183,tries,2930.8,4194,149,267,266,318,36
184,aiery,2930.4,4196,140,201,177,150,364
185,targe,2930.2,4141,149,304,163,76,422
186,anile,2929.2000000000003,4164,140,87,266,162,422
187,haler,2929.0,4205,69,304,112,318,212
188,stela,2928.3999999999996,4318,365,77,177,162,63
189,ursae,2927.2,4236,33,267,80,162,422
190,oared,2926.3999999999996,4248,41,304,163,318,118
191,pareo,2925.6,4220,141,304,163,318,58
192,layer,2925.2,4242,87,304,29,318,212
193,lader,2925.0,4211,87,304,75,318,212
194,stile,2924.6,4013,365,77,266,162,422
195,taels,2922.0,4318,149,304,177,162,36
196,reoil,2920.4,4266,105,241,243,158,155
197,alien,2920.0,4164,140,200,266,318,130
198,rathe,2918.7999999999997,4218,105,304,111,28,422
199,marse,2918.4,4086,107,304,163,171,422
200,shear,2918.2,4157,365,144,177,162,212
201,oaten,2917.6,4260,41,304,111,318,130
202,rated,2916.8,4224,105,304,111,318,118
203,liter,2916.7999999999997,4242,87,201,111,318,212
204,uraei,2916.7999999999997,4238,33,267,306,318,11
205,haole,2916.6,4061,69,304,243,162,422
206,loner,2914.6000000000004,4169,87,279,137,318,212
207,leats,2914.3999999999996,4318,87,241,306,139,36
208,naieo,2913.8,4201,37,304,266,318,58
209,laten,2913.7999999999997,4223,87,304,111,318,130
210,nears,2913.7999999999997,4343,37,241,306,150,36
211,flare,2913.3999999999996,4047,135,200,306,150,422
212,oiler,2913.2,4266,41,201,112,318,212
213,brane,2913.0,3955,173,267,306,182,422
214,lores,2911.6000000000004,4264,87,279,163,318,36
215,faire,2911.4,4001,135,304,266,150,422
216,deair,2910.2,4165,111,241,306,158,212
217,mater,2909.0,4147,107,304,111,318,212
218,arled,2908.6,4211,140,267,112,318,118
219,earns,2908.6,4343,72,304,163,182,36
220,gater,2908.6,4141,115,304,111,318,212
221,senor,2907.4,4121,365,241,137,132,212
222,corse,2907.0,4023,198,279,163,171,422
223,pearl,2907.0,4183,141,241,306,150,155
224,derat,2906.4,4224,111,241,163,162,253
225,baler,2906.3999999999996,4098,173,304,112,318,212
226,roake,2905.8,4065,105,279,306,55,422
227,rotes,2905.7999999999997,4277,105,279,111,318,36
228,tamer,2905.7999999999997,4147,149,304,61,318,212
229,alder,2904.6,4211,140,200,75,318,212
230,ramet,2904.6,4147,105,304,61,318,253
231,anise,2904.0,4116,140,87,266,171,422
232,armet,2903.7999999999997,4147,140,267,61,318,253
233,caste,2903.3999999999996,4077,198,304,80,139,422
234,farle,2902.6,4047,135,304,163,162,422
235,trice,2902.2,4001,149,267,266,150,422
236,score,2901.7999999999997,4023,365,40,243,150,422
237,wrate,2901.4,4025,82,267,306,139,422
238,slart,2900.6,3985,365,200,306,150,253
239,argle,2900.0,4128,140,267,67,162,422
240,amore,2899.8,4171,140,38,243,150,422
241,spale,2898.8,3954,365,61,306,162,422
242,roles,2898.4,4264,105,279,112,318,36
243,large,2897.6,4128,87,304,163,76,422
244,norie,2897.3999999999996,4123,37,279,163,158,422
245,spate,2897.3999999999996,3967,365,61,306,139,422
246,resay,2897.2000000000003,4194,105,241,80,162,364
247,thale,2895.3999999999996,4037,149,144,306,162,422
248,crise,2893.6,3940,198,267,266,171,422
249,siren,2893.6,4038,365,201,163,318,130
250,sware,2893.2000000000003,3964,365,44,306,150,422
251,rouet,2893.0,4075,105,279,165,318,253
252,relit,2892.7999999999997,4242,105,241,112,158,253
253,stade,2892.6,3995,365,77,306,69,422
254,plate,2892.2,4015,141,200,306,139,422
255,adret,2892.0,4224,140,20,163,318,253
256,noter,2892.0,4182,37,279,111,318,212
257,saree,2890.8,3770,365,304,163,318,422
258,shore,2890.6,3935,365,144,243,150,422
259,roule,2890.3999999999996,4062,105,279,165,162,422
260,route,2889.0,4075,105,279,165,139,422
261,safer,2889.0,3999,365,304,25,318,212
262,ureal,2888.0,4284,33,267,177,162,155
263,stone,2887.3999999999996,3953,365,77,243,182,422
264,seron,2885.0,4121,365,241,163,132,130
265,tread,2883.6000000000004,4224,149,267,177,162,118
266,sated,2883.4,3995,365,304,111,318,118
267,ruote,2882.6,4075,105,185,243,139,422
268,lacet,2882.2,4125,87,304,56,318,253
269,taber,2882.2,4111,149,304,56,318,212
270,crone,2881.6,3928,198,267,243,182,422
271,telia,2881.2,4320,149,241,112,158,63
272,ahole,2881.0,4061,140,144,243,162,422
273,canoe,2880.8,4006,198,304,137,132,422
274,ayrie,2879.6,4196,140,22,163,158,422
275,aures,2878.4,4236,140,185,163,318,36
276,loure,2878.3999999999996,4062,87,279,165,150,422
277,nacre,2877.6,4150,37,304,56,150,422
278,aider,2877.4,4165,140,201,75,318,212
279,farse,2877.4,3999,135,304,163,171,422
280,ceria,2877.3999999999996,4247,198,241,163,158,63
281,potae,2877.2,4052,141,279,111,162,422
282,ramse,2876.8,4086,105,304,61,171,422
283,rayne,2876.2000000000003,4099,105,304,29,182,422
284,drole,2875.4,3989,111,267,243,162,422
285,erica,2875.3999999999996,4247,72,267,266,150,63
286,aired,2875.0,4165,140,201,163,318,118
287,races,2874.6,4245,105,304,56,318,36
288,great,2874.2,4141,115,267,177,162,253
289,shoer,2873.8,3935,365,144,243,318,212
290,lamer,2873.2000000000003,4134,87,304,61,318,212
291,ramie,2872.7999999999997,4088,105,304,61,158,422
292,saker,2872.4,3980,365,304,12,318,212
293,lager,2872.0,4128,87,304,67,318,212
294,osier,2872.0,4218,41,16,266,318,212
295,spear,2871.8,4135,365,61,177,162,212
296,cleat,2871.0,4125,198,200,177,162,253
297,dares,2870.6,4163,111,304,163,318,36
298,prole,2870.6,3961,141,267,243,162,422
299,braes,2870.0,4050,173,267,306,318,36
300,feart,2870.0,4060,135,241,306,150,253
301,aurei,2869.6,4238,140,185,163,318,11
302,abore,2869.4,4135,140,16,243,150,422
303,stean,2869.4,4175,365,77,177,162,130
304,tesla,2868.7999999999997,4318,149,241,80,162,63
305,neato,2868.4,4260,37,241,306,139,58
306,sawer,2868.4,3964,365,304,26,318,212
307,orles,2868.0,4264,41,267,112,318,36
308,rased,2867.7999999999997,4163,105,304,80,318,118
309,arsed,2867.0,4163,140,267,80,318,118
310,segar,2866.8,4080,365,241,67,162,212
311,chare,2866.4,3964,198,144,306,150,422
312,paise,2866.3999999999996,3908,141,304,266,171,422
313,pares,2865.8,4135,141,304,163,318,36
314,sture,2865.6,3990,365,77,165,150,422
315,trave,2865.3999999999996,3983,149,267,306,45,422
316,rouse,2865.2000000000003,4014,105,279,165,171,422
317,baser,2864.8,4050,173,304,80,318,212
318,petar,2864.4,4196,141,241,111,162,212
319,recal,2863.3999999999996,4293,105,241,56,162,155
320,tires,2863.2000000000003,4194,149,201,163,318,36
321,renay,2863.0,4099,105,241,137,162,364
322,crape,2862.3999999999996,3942,198,267,306,50,422
323,sored,2861.8,3941,365,279,163,318,118
324,claes,2861.6000000000004,4064,198,200,306,318,36
325,scire,2861.2,3940,365,40,266,150,422
326,trode,2861.2,4002,149,267,243,69,422
327,palet,2860.2,4015,141,304,112,318,253
328,maser,2860.0,4086,107,304,80,318,212
329,roast,2858.7999999999997,4022,105,279,306,171,253
330,tenor,2857.6,4182,149,241,137,132,212
331,solar,2857.4,4009,365,279,112,162,212
332,areic,2857.3999999999996,4247,140,267,177,158,31
333,earth,2856.7999999999997,4218,72,304,163,139,137
334,aeons,2856.2000000000003,4199,140,241,243,182,36
335,solei,2856.2,4037,365,279,112,318,11
336,seare,2855.6,3770,365,241,306,150,422
337,dealt,2855.0,4043,111,241,306,162,253
338,soral,2855.0,4009,365,279,163,162,155
339,oread,2854.7999999999997,4248,41,267,177,162,118
340,apter,2854.4,4196,140,61,111,318,212
341,blate,2854.0,3930,173,200,306,139,422
342,baile,2853.4,3871,173,304,266,162,422
343,tinea,2853.3999999999996,4177,149,201,137,318,63
344,saver,2852.3999999999996,3922,365,304,49,318,212
345,poire,2852.2,3915,141,279,266,150,422
346,resit,2851.2000000000003,4194,105,241,80,158,253
347,sauce,2850.8,3814,365,304,165,150,422
348,hares,2850.2,4157,69,304,163,318,36
349,lanes,2850.0,4162,87,304,137,318,36
350,raike,2850.0,3982,105,304,266,55,422
351,shire,2850.0,3852,365,144,266,150,422
352,laide,2849.6000000000004,3984,87,304,266,69,422
353,maile,2848.6,3907,107,304,266,162,422
354,ocrea,2848.0,4330,41,40,163,318,63
355,acoel,2847.8,4149,140,40,243,318,155
356,aloed,2847.7999999999997,4067,140,200,243,318,118
357,paren,2846.4,4040,141,304,163,318,130
358,urite,2846.0,3992,33,267,266,139,422
359,serin,2845.6,4038,365,241,163,158,130
360,stage,2845.6,3912,365,77,306,76,422
361,prose,2845.3999999999996,3913,141,267,243,171,422
362,sable,2845.0,3869,365,304,56,162,422
363,sceat,2845.0,4077,365,40,177,162,253
364,crena,2844.8,4150,198,267,177,182,63
365,elain,2844.8,4164,72,200,306,158,130
366,repat,2844.8,4196,105,241,57,162,253
367,spore,2844.2,3913,365,61,243,150,422
368,resol,2843.6,4264,105,241,80,132,155
369,eorls,2843.2000000000003,4264,72,279,163,162,36
370,noser,2843.0,4121,37,279,80,318,212
371,sayne,2842.8,3870,365,304,29,182,422
372,porte,2842.0,3974,141,279,163,139,422
373,cadre,2841.6,3970,198,304,75,150,422
374,brace,2841.3999999999996,3857,173,267,306,150,422
375,crine,2841.0,3845,198,267,266,182,422
376,crame,2840.2,3893,198,267,306,68,422
377,plore,2839.0,3961,141,200,243,150,422
378,leans,2838.0,4162,87,241,306,182,36
379,ariot,2837.6000000000004,4024,140,267,266,132,253
380,maerl,2837.6000000000004,4134,107,304,177,150,155
381,ceorl,2837.4,4071,198,241,243,150,155
382,rinse,2837.2,4038,105,201,137,171,422
383,trope,2836.8,3974,149,267,243,50,422
384,grace,2836.2,3887,115,267,306,150,422
385,afore,2835.6000000000004,4084,140,8,243,150,422
386,dears,2835.3999999999996,4163,111,241,306,150,36
387,salep,2834.4,3954,365,304,112,318,56
388,liner,2833.6,4086,87,201,137,318,212
389,raned,2833.6,4068,105,304,137,318,118
390,soave,2833.6,3778,365,279,306,45,422
391,rimae,2833.2,4088,105,201,61,162,422
392,shier,2833.2,3852,365,144,266,318,212
393,smear,2833.2,4086,365,38,177,162,212
394,cates,2833.0,4077,198,304,111,318,36
395,preta,2832.4,4196,141,267,177,139,63
396,pears,2830.6,4135,141,241,306,150,36
397,blase,2830.2000000000003,3869,173,200,306,171,422
398,apert,2830.0,4196,140,61,177,150,253
399,togae,2829.7999999999997,3997,149,279,67,162,422
400,oilet,2828.7999999999997,4098,41,201,112,318,253
401,vaire,2828.4,3924,43,304,266,150,422
402,blear,2828.3999999999996,4098,173,200,177,162,212
403,nitre,2827.8,4099,37,201,111,150,422
404,bares,2827.6,4050,173,304,163,318,36
405,nates,2827.4,4175,37,304,111,318,36
406,acres,2825.8,4245,140,40,163,318,36
407,crest,2825.8,3999,198,267,177,171,253
408,water,2825.8,4025,82,304,111,318,212
409,aimer,2825.6,4088,140,201,61,318,212
410,naice,2825.3999999999996,3923,37,304,266,150,422
411,recta,2825.2,4306,105,241,56,139,63
412,rites,2824.8,4194,105,201,111,318,36
413,samel,2824.2,3905,365,304,61,318,155
414,maise,2823.4,3859,107,304,266,171,422
415,dorse,2823.0,3941,111,279,163,171,422
416,mares,2822.8,4086,107,304,163,318,36
417,realm,2822.8,4134,105,241,306,162,42
418,leany,2822.7999999999997,3918,87,241,306,182,364
419,clote,2822.6,3903,198,200,243,139,422
420,rones,2822.6,4121,105,279,137,318,36
421,taker,2822.6,4041,149,304,12,318,212
422,cared,2822.4,3970,198,304,163,318,118
423,gares,2822.4,4080,115,304,163,318,36
424,lance,2821.4,3969,87,304,137,150,422
425,neosa,2821.4,4199,37,241,243,171,63
426,spane,2821.0,3811,365,61,306,182,422
427,tride,2820.6000000000004,3919,149,267,266,69,422
428,leirs,2820.6,4181,87,241,266,150,36
429,patel,2820.6,4015,141,304,111,318,155
430,deary,2820.2000000000003,3919,111,241,306,150,364
431,carpe,2820.0,3942,198,304,163,50,422
432,belar,2818.7999999999997,4098,173,241,112,162,212
433,socle,2818.7999999999997,3842,365,279,56,162,422
434,slake,2818.6000000000004,3799,365,200,306,55,422
435,daine,2818.6,3841,111,304,266,182,422
436,tawer,2818.6,4025,149,304,26,318,212
437,waler,2818.3999999999996,4012,82,304,112,318,212
438,stern,2817.7999999999997,4097,365,77,177,150,130
439,thane,2817.6000000000004,3894,149,144,306,182,422
440,riles,2817.4,4181,105,201,112,318,36
441,halse,2816.8,3976,69,304,112,171,422
442,sorta,2816.7999999999997,4022,365,279,163,139,63
443,slice,2816.6000000000004,3759,365,200,266,150,422
444,citer,2816.6,4001,198,201,111,318,212
445,eatin,2816.2,4177,72,304,111,158,130
446,dearn,2816.0,4068,111,241,306,150,130
447,plane,2815.8,3859,141,200,306,182,422
448,elans,2815.6,4162,72,200,306,182,36
449,resto,2815.3999999999996,4277,105,241,80,139,58
450,toles,2815.2,4096,149,279,112,318,36
451,hears,2815.0,4157,69,241,306,150,36
452,oware,2814.6000000000004,4049,41,44,306,150,422
453,paste,2814.6,3967,141,304,80,139,422
454,toyer,2814.6,4033,149,279,29,318,212
455,acone,2814.4,4006,140,40,243,182,422
456,doter,2813.6,4002,111,279,111,318,212
457,royet,2813.3999999999996,4033,105,279,29,318,253
458,years,2812.0,4194,6,241,306,150,36
459,ureas,2811.6,4236,33,267,177,162,36
460,cores,2811.3999999999996,4023,198,279,163,318,36
461,soger,2811.2,3858,365,279,67,318,212
462,lyase,2811.0,4013,87,22,306,171,422
463,niter,2811.0,4099,37,201,111,318,212
464,stair,2810.6000000000004,3939,365,77,306,158,212
465,slyer,2810.6,3935,365,200,29,318,212
466,neals,2810.0,4162,37,241,306,162,36
467,heast,2809.4,3989,69,241,306,171,253
468,moire,2809.2,3866,107,279,266,150,422
469,rapes,2809.0,4135,105,304,57,318,36
470,relos,2808.8,4264,105,241,112,132,36
471,neats,2808.6,4175,37,241,306,139,36
472,outre,2808.6,4075,41,185,111,150,422
473,presa,2808.6,4135,141,267,177,171,63
474,range,2808.6,3985,105,304,137,76,422
475,suite,2808.6,3763,365,185,266,139,422
476,laree,2808.3999999999996,3818,87,304,163,318,422
477,tolar,2807.6,4070,149,279,112,162,212
478,brose,2807.2,3828,173,267,243,171,422
479,satem,2806.7999999999997,3918,365,304,111,318,42
480,noise,2806.4,3894,37,279,266,171,422
481,yeast,2806.4,4026,6,241,306,171,253
482,trail,2806.2,3987,149,267,306,158,155
483,smore,2805.6000000000004,3864,365,38,243,150,422
484,tenia,2805.3999999999996,4177,149,241,137,158,63
485,prise,2804.8,3830,141,267,266,171,422
486,spire,2803.6,3830,365,61,266,150,422
487,lathe,2803.0,4037,87,304,111,28,422
488,horse,2802.6,3935,69,279,163,171,422
489,taver,2802.6,3983,149,304,49,318,212
490,riley,2802.2,3937,105,201,112,318,364
491,throe,2801.6,3996,149,144,163,132,422
492,tiers,2801.6,4194,149,201,177,150,36
493,todea,2801.6,4080,149,279,75,318,63
494,poler,2801.4,3961,141,279,112,318,212
495,lated,2801.0,4043,87,304,111,318,118
496,blore,2800.8,3876,173,200,243,150,422
497,caper,2800.7999999999997,3942,198,304,57,318,212
498,reads,2800.6,4163,105,241,306,69,36
499,saned,2800.2000000000003,3839,365,304,137,318,118
500,osetr,2800.2,4277,41,16,177,139,212
501,haste,2799.0,3989,69,304,80,139,422
502,close,2798.7999999999997,3842,198,200,243,171,422
503,tried,2798.6000000000004,3919,149,267,266,318,118
504,cries,2798.0,3940,198,267,266,318,36
505,drone,2797.6,3846,111,267,243,182,422
506,ourie,2797.2,4016,41,185,163,158,422
507,scote,2796.6,3855,365,40,243,139,422
508,corey,2796.2000000000003,3779,198,279,163,318,364
509,tripe,2796.2,3891,149,267,266,50,422
510,amole,2796.0,3990,140,38,243,162,422
511,table,2795.2,3930,149,304,56,162,422
512,afire,2795.0,4001,140,8,266,150,422
513,oaker,2793.8,4065,41,304,12,318,212
514,diane,2793.4,3841,111,201,306,182,422
515,sient,2793.2,3870,365,201,177,182,253
516,prone,2792.7999999999997,3818,141,267,243,182,422
517,yearn,2792.6000000000004,4099,6,241,306,150,130
518,nerol,2792.6,4169,37,241,163,132,155
519,bears,2792.4,4050,173,241,306,150,36
520,cause,2792.4,3814,198,304,165,171,422
521,selah,2792.4,3976,365,241,112,162,137
522,goier,2792.0,3860,115,279,266,318,212
523,outer,2791.8,4075,41,185,111,318,212
524,trial,2791.7999999999997,3987,149,267,266,162,155
525,taces,2791.3999999999996,4077,149,304,56,318,36
526,liart,2791.0,3987,87,201,306,150,253
527,toper,2790.4,3974,149,279,57,318,212
528,laker,2790.0,4028,87,304,12,318,212
529,lotes,2790.0,4096,87,279,111,318,36
530,swale,2789.3999999999996,3783,365,44,306,162,422
531,afret,2788.8,4060,140,8,163,318,253
532,arpen,2788.8,4040,140,267,57,318,130
533,lapse,2788.8,3954,87,304,57,171,422
534,pilae,2788.8,3956,141,201,112,162,422
535,sober,2788.7999999999997,3828,365,279,56,318,212
536,beira,2788.3999999999996,4052,173,241,266,150,63
537,psoae,2788.2,3991,141,16,243,162,422
538,ayres,2788.0,4194,140,22,163,318,36
539,luter,2788.0,4038,87,185,111,318,212
540,speat,2787.3999999999996,3967,365,61,177,162,253
541,gears,2787.2,4080,115,241,306,150,36
542,sheal,2786.8,3976,365,144,177,162,155
543,spier,2786.8,3830,365,61,266,318,212
544,beast,2786.7999999999997,3882,173,241,306,171,253
545,denar,2786.0,4068,111,241,137,162,212
546,lawer,2786.0,4012,87,304,26,318,212
547,styre,2786.0,3948,365,77,29,150,422
548,ready,2785.4,3919,105,241,306,69,364
549,shote,2785.3999999999996,3767,365,144,243,139,422
550,tased,2784.6,3995,149,304,80,318,118
551,skate,2784.0,3812,365,10,306,139,422
552,leapt,2783.8,4015,87,241,306,50,253
553,reate,2783.8,3831,105,241,306,139,422
554,sitar,2783.8,3939,365,201,111,162,212
555,sider,2783.2,3858,365,201,75,318,212
556,seity,2782.6,3721,365,241,266,139,364
557,pleat,2782.2,4015,141,200,177,162,253
558,touse,2782.0,3846,149,279,165,171,422
559,antes,2781.8,4175,140,87,111,318,36
560,aruhe,2781.8,3955,140,267,165,28,422
561,fares,2781.8,3999,135,304,163,318,36
562,tsade,2781.8,3995,149,16,306,69,422
563,plier,2781.6,3878,141,200,266,318,212
564,sonar,2781.6,3866,365,279,137,162,212
565,rames,2781.2,4086,105,304,61,318,36
566,riels,2781.0,4181,105,201,177,162,36
567,sewar,2780.8,3964,365,241,26,162,212
568,sired,2780.7999999999997,3858,365,201,163,318,118
569,steil,2780.6,4013,365,77,177,158,155
570,rages,2780.0,4080,105,304,67,318,36
571,slave,2779.8,3741,365,200,306,45,422
572,drape,2778.4,3860,111,267,306,50,422
573,asper,2778.2,4135,140,16,57,318,212
574,coure,2778.2,3821,198,279,165,150,422
