Rank,Word,Score,Pos1 Overall Freq,Pos1 Positional Freq,Pos2 Overall Freq,Pos2 Positional Freq,Pos3 Overall Freq,Pos3 Positional Freq,Pos4 Overall Freq,Pos4 Positional Freq,Pos5 Overall Freq,Pos5 Positional Freq
148,marle,2794.8,316,975,897,716,1230,107,304,163,162,422
149,aisle,2794.7000000000003,975,670,668,716,1230,140,201,80,162,422
150,ranes,2793.65,897,975,573,1230,668,105,304,137,318,36
151,cares,2793.3,475,975,897,1230,668,198,304,163,318,36
152,rayle,2793.0000000000005,897,975,424,716,1230,105,304,29,162,422
153,toner,2792.8500000000004,729,753,573,1230,897,149,279,137,318,212
154,saber,2792.25,668,975,280,1230,897,365,304,56,318,212
155,paler,2789.8,365,975,716,1230,897,141,304,112,318,212
156,stile,2788.55,668,729,670,716,1230,365,77,266,162,422
157,tales,2788.45,729,975,716,1230,668,149,304,112,318,36
158,clear,2788.2,475,716,1230,975,897,198,200,177,162,212
159,thrae,2787.9,729,387,897,975,1230,149,144,163,162,422
160,ronte,2787.0000000000005,897,753,573,729,1230,105,279,137,139,422
161,noire,2786.95,573,753,670,897,1230,37,279,266,150,422
162,rione,2786.5,897,670,753,573,1230,105,201,243,182,422
163,rance,2785.6,897,975,573,475,1230,105,304,137,150,422
164,irade,2784.85,670,897,975,393,1230,34,267,306,69,422
165,loser,2784.4,716,753,668,1230,897,87,279,80,318,212
166,irone,2784.25,670,897,753,573,1230,34,267,243,182,422
167,brane,2782.75,280,897,975,573,1230,173,267,306,182,422
168,saree,2780.9,668,975,897,1230,1230,365,304,163,318,422
169,retia,2780.65,897,1230,729,670,975,105,241,111,158,63
170,reans,2780.15,897,1230,975,573,668,105,241,306,182,36
171,tiler,2779.5000000000005,729,670,716,1230,897,149,201,112,318,212
172,targe,2778.8500000000004,729,975,897,310,1230,149,304,163,76,422
173,heart,2778.45,387,1230,975,897,729,69,241,306,150,253
174,tores,2777.6000000000004,729,753,897,1230,668,149,279,163,318,36
175,teals,2777.2,729,1230,975,716,668,149,241,306,162,36
176,hater,2776.2,387,975,729,1230,897,69,304,111,318,212
177,relay,2775.9000000000005,897,1230,716,975,424,105,241,112,162,364
178,taper,2775.8,729,975,365,1230,897,149,304,57,318,212
179,faire,2775.2000000000003,229,975,670,897,1230,135,304,266,150,422
180,adore,2775.15,975,393,753,897,1230,140,20,243,150,422
181,renal,2775.05,897,1230,573,975,716,105,241,137,162,155
182,anile,2774.8500000000004,975,573,670,716,1230,140,87,266,162,422
183,nares,2774.75,573,975,897,1230,668,37,304,163,318,36
184,haole,2773.55,387,975,753,716,1230,69,304,243,162,422
185,reist,2772.9,897,1230,670,668,729,105,241,266,171,253
186,tries,2772.9,729,897,670,1230,668,149,267,266,318,36
187,marse,2772.4500000000003,316,975,897,668,1230,107,304,163,171,422
188,aiery,2772.2000000000003,975,670,1230,897,424,140,201,177,150,364
189,flare,2771.7000000000003,229,716,975,897,1230,135,200,306,150,422
190,litre,2770.05,716,670,729,897,1230,87,201,111,150,422
191,haler,2769.5,387,975,716,1230,897,69,304,112,318,212
192,serac,2767.65,668,1230,897,975,475,365,241,163,162,31
193,corse,2767.5,475,753,897,668,1230,198,279,163,171,422
194,spale,2766.9,668,365,975,716,1230,365,61,306,162,422
195,slart,2765.05,668,716,975,897,729,365,200,306,150,253
196,trice,2764.8500000000004,729,897,670,475,1230,149,267,266,150,422
197,alien,2764.5,975,716,670,1230,573,140,200,266,318,130
198,lader,2764.25,716,975,393,1230,897,87,304,75,318,212
199,pareo,2763.8,365,975,897,1230,753,141,304,163,318,58
200,spate,2763.7000000000003,668,365,975,729,1230,365,61,306,139,422
201,ursae,2763.6000000000004,466,897,668,975,1230,33,267,80,162,422
202,shear,2763.3500000000004,668,387,1230,975,897,365,144,177,162,212
203,crise,2762.8,475,897,670,668,1230,198,267,266,171,422
204,score,2761.65,668,475,753,897,1230,365,40,243,150,422
205,oared,2761.2,753,975,897,1230,393,41,304,163,318,118
206,wrate,2760.95,194,897,975,729,1230,82,267,306,139,422
207,roake,2760.9,897,753,975,210,1230,105,279,306,55,422
208,layer,2760.6000000000004,716,975,424,1230,897,87,304,29,318,212
209,shore,2760.05,668,387,753,897,1230,365,144,243,150,422
210,farle,2759.55,229,975,897,716,1230,135,304,163,162,422
211,sware,2759.3500000000004,668,194,975,897,1230,365,44,306,150,422
212,loner,2757.8,716,753,573,1230,897,87,279,137,318,212
213,baler,2757.45,280,975,716,1230,897,173,304,112,318,212
214,caste,2756.7000000000003,475,975,668,729,1230,198,304,80,139,422
215,toeas,2756.6,729,753,1230,975,668,149,279,177,162,36
216,rathe,2756.4,897,975,729,387,1230,105,304,111,28,422
217,neral,2756.15,573,1230,897,975,716,37,241,163,162,155
218,senor,2755.7000000000003,668,1230,573,753,897,365,241,137,132,212
219,stade,2754.8,668,729,975,393,1230,365,77,306,69,422
220,stela,2754.7,668,729,1230,716,975,365,77,177,162,63
221,gater,2754.55,310,975,729,1230,897,115,304,111,318,212
222,mater,2754.2500000000005,316,975,729,1230,897,107,304,111,318,212
223,stone,2754.2,668,729,753,573,1230,365,77,243,182,422
224,rated,2753.4,897,975,729,1230,393,105,304,111,318,118
225,deair,2753.35,393,1230,975,670,897,111,241,306,158,212
226,naieo,2752.9,573,975,670,1230,753,37,304,266,318,58
227,thale,2752.7000000000003,729,387,975,716,1230,149,144,306,162,422
228,anise,2752.5,975,573,670,668,1230,140,87,266,171,422
229,reoil,2752.2000000000003,897,1230,753,670,716,105,241,243,158,155
230,plate,2751.85,365,716,975,729,1230,141,200,306,139,422
231,uraei,2751.65,466,897,975,1230,670,33,267,306,318,11
232,liter,2751.1500000000005,716,670,729,1230,897,87,201,111,318,212
233,crone,2750.8,475,897,753,573,1230,198,267,243,182,422
234,tamer,2750.6500000000005,729,975,316,1230,897,149,304,61,318,212
235,siren,2750.55,668,670,897,1230,573,365,201,163,318,130
236,safer,2750.25,668,975,229,1230,897,365,304,25,318,212
237,laten,2750.15,716,975,729,1230,573,87,304,111,318,130
238,oaten,2749.8,753,975,729,1230,573,41,304,111,318,130
239,ramet,2749.3,897,975,316,1230,729,105,304,61,318,253
240,armet,2748.4000000000005,975,897,316,1230,729,140,267,61,318,253
241,pearl,2747.5,365,1230,975,897,716,141,241,306,150,155
242,taels,2747.5,729,975,1230,716,668,149,304,177,162,36
243,argle,2746.5,975,897,310,716,1230,140,267,67,162,422
244,arled,2745.8,975,897,716,1230,393,140,267,112,318,118
245,rouet,2745.25,897,753,466,1230,729,105,279,165,318,253
246,sated,2744.45,668,975,729,1230,393,365,304,111,318,118
247,norie,2744.2,573,753,897,670,1230,37,279,163,158,422
248,oiler,2744.1000000000004,753,670,716,1230,897,41,201,112,318,212
249,roule,2743.9500000000003,897,753,466,716,1230,105,279,165,162,422
250,large,2743.8,716,975,897,310,1230,87,304,163,76,422
251,lores,2742.55,716,753,897,1230,668,87,279,163,318,36
252,derat,2741.7000000000003,393,1230,897,975,729,111,241,163,162,253
253,alder,2741.3,975,716,393,1230,897,140,200,75,318,212
254,seare,2741.3,668,1230,975,897,1230,365,241,306,150,422
255,shoer,2741.15,668,387,753,1230,897,365,144,243,318,212
256,amore,2740.9,975,316,753,897,1230,140,38,243,150,422
257,route,2740.75,897,753,466,729,1230,105,279,165,139,422
258,canoe,2740.15,475,975,573,753,1230,198,304,137,132,422
259,leats,2738.95,716,1230,975,729,668,87,241,306,139,36
260,farse,2737.2000000000003,229,975,897,668,1230,135,304,163,171,422
261,drole,2736.2000000000003,393,897,753,716,1230,111,267,243,162,422
262,paise,2736.2,365,975,670,668,1230,141,304,266,171,422
263,nears,2735.15,573,1230,975,897,668,37,241,306,150,36
264,resay,2735.1000000000004,897,1230,668,975,424,105,241,80,162,364
265,rotes,2734.4000000000005,897,753,729,1230,668,105,279,111,318,36
266,prole,2734.3,365,897,753,716,1230,141,267,243,162,422
267,saker,2733.95,668,975,210,1230,897,365,304,12,318,212
268,ruote,2733.55,897,466,753,729,1230,105,185,243,139,422
269,ahole,2733.5,975,387,753,716,1230,140,144,243,162,422
270,sawer,2731.4500000000003,668,975,194,1230,897,365,304,26,318,212
271,noter,2730.7500000000005,573,753,729,1230,897,37,279,111,318,212
272,seron,2730.5,668,1230,897,753,573,365,241,163,132,130
273,loure,2730.4500000000003,716,753,466,897,1230,87,279,165,150,422
274,sauce,2730.4,668,975,466,475,1230,365,304,165,150,422
275,potae,2730.3500000000004,365,753,729,975,1230,141,279,111,162,422
276,earns,2729.3,1230,975,897,573,668,72,304,163,182,36
277,chare,2729.2000000000003,475,387,975,897,1230,198,144,306,150,422
278,taber,2728.6000000000004,729,975,280,1230,897,149,304,56,318,212
279,roles,2727.7000000000003,897,753,716,1230,668,105,279,112,318,36
280,crape,2727.4500000000003,475,897,975,365,1230,198,267,306,50,422
281,sored,2726.9,668,753,897,1230,393,365,279,163,318,118
282,lacet,2726.85,716,975,475,1230,729,87,304,56,318,253
283,scire,2726.35,668,475,670,897,1230,365,40,266,150,422
284,baile,2726.2000000000003,280,975,670,716,1230,173,304,266,162,422
285,trave,2725.7,729,897,975,152,1230,149,267,306,45,422
286,ramse,2725.65,897,975,316,668,1230,105,304,61,171,422
287,adret,2725.5,975,393,897,1230,729,140,20,163,318,253
288,sture,2725.05,668,729,466,897,1230,365,77,165,150,422
289,shire,2724.7500000000005,668,387,670,897,1230,365,144,266,150,422
290,relit,2724.1500000000005,897,1230,716,670,729,105,241,112,158,253
291,rayne,2723.3500000000004,897,975,424,573,1230,105,304,29,182,422
292,braes,2722.5,280,897,975,1230,668,173,267,306,318,36
293,rouse,2721.6000000000004,897,753,466,668,1230,105,279,165,171,422
294,feart,2721.25,229,1230,975,897,729,135,241,306,150,253
295,ramie,2720.9,897,975,316,670,1230,105,304,61,158,422
296,blate,2719.5,280,716,975,729,1230,173,200,306,139,422
297,poire,2719.35,365,753,670,897,1230,141,279,266,150,422
298,saver,2718.7000000000003,668,975,152,1230,897,365,304,49,318,212
299,trode,2718.6000000000004,729,897,753,393,1230,149,267,243,69,422
300,nacre,2718.55,573,975,475,897,1230,37,304,56,150,422
301,sable,2717.0,668,975,280,716,1230,365,304,56,162,422
302,baser,2716.65,280,975,668,1230,897,173,304,80,318,212
303,aider,2716.45,975,670,393,1230,897,140,201,75,318,212
304,maile,2716.3,316,975,670,716,1230,107,304,266,162,422
305,tread,2716.05,729,897,1230,975,393,149,267,177,162,118
306,great,2715.8500000000004,310,897,1230,975,729,115,267,177,162,253
307,palet,2715.85,365,975,716,1230,729,141,304,112,318,253
308,lamer,2715.6000000000004,716,975,316,1230,897,87,304,61,318,212
309,soave,2715.55,668,753,975,152,1230,365,279,306,45,422
310,crine,2715.5,475,897,670,573,1230,198,267,266,182,422
311,segar,2715.15,668,1230,310,975,897,365,241,67,162,212
312,ayrie,2715.05,975,424,897,670,1230,140,22,163,158,422
313,lager,2715.0,716,975,310,1230,897,87,304,67,318,212
314,brace,2714.4500000000003,280,897,975,475,1230,173,267,306,150,422
315,sayne,2714.4,668,975,424,573,1230,365,304,29,182,422
316,cleat,2714.25,475,716,1230,975,729,198,200,177,162,253
317,spear,2713.9,668,365,1230,975,897,365,61,177,162,212
318,aired,2713.75,975,670,897,1230,393,140,201,163,318,118
319,ureal,2713.5,466,897,1230,975,716,33,267,177,162,155
320,solar,2713.4500000000003,668,753,716,975,897,365,279,112,162,212
321,roast,2713.4000000000005,897,753,975,668,729,105,279,306,171,253
322,stage,2712.3,668,729,975,310,1230,365,77,306,76,422
323,prose,2711.95,365,897,753,668,1230,141,267,243,171,422
324,claes,2711.3,475,716,975,1230,668,198,200,306,318,36
325,abore,2711.2,975,280,753,897,1230,140,16,243,150,422
326,soral,2710.75,668,753,897,975,716,365,279,163,162,155
327,spore,2710.6,668,365,753,897,1230,365,61,243,150,422
328,dares,2709.05,393,975,897,1230,668,111,304,163,318,36
329,aures,2708.7000000000003,975,466,897,1230,668,140,185,163,318,36
330,solei,2708.6000000000004,668,753,716,1230,670,365,279,112,318,11
331,crame,2708.6,475,897,975,316,1230,198,267,306,68,422
332,raike,2708.5000000000005,897,975,670,210,1230,105,304,266,55,422
333,renay,2708.5,897,1230,573,975,424,105,241,137,162,364
334,laide,2707.8,716,975,670,393,1230,87,304,266,69,422
335,pares,2707.15,365,975,897,1230,668,141,304,163,318,36
336,maser,2706.75,316,975,668,1230,897,107,304,80,318,212
337,dealt,2706.5,393,1230,975,716,729,111,241,306,162,253
338,ceria,2706.2000000000003,475,1230,897,670,975,198,241,163,158,63
339,stean,2706.2,668,729,1230,975,573,365,77,177,162,130
340,rased,2705.9,897,975,668,1230,393,105,304,80,318,118
341,shier,2705.8500000000004,668,387,670,1230,897,365,144,266,318,212
342,arsed,2705.0,975,897,668,1230,393,140,267,80,318,118
343,grace,2704.8500000000004,310,897,975,475,1230,115,267,306,150,422
344,erica,2703.9500000000003,1230,897,670,475,975,72,267,266,150,63
345,osier,2703.75,753,668,670,1230,897,41,16,266,318,212
346,races,2703.3,897,975,475,1230,668,105,304,56,318,36
347,urite,2702.7500000000005,466,897,670,729,1230,33,267,266,139,422
348,telia,2701.35,729,1230,716,670,975,149,241,112,158,63
349,cadre,2700.55,475,975,393,897,1230,198,304,75,150,422
350,porte,2700.5,365,753,897,729,1230,141,279,163,139,422
351,blase,2700.3500000000004,280,716,975,668,1230,173,200,306,171,422
352,slice,2698.8,668,716,670,475,1230,365,200,266,150,422
353,plore,2698.75,365,716,753,897,1230,141,200,243,150,422
354,aurei,2698.55,975,466,897,1230,670,140,185,163,318,11
355,petar,2697.9500000000003,365,1230,729,975,897,141,241,111,162,212
356,spane,2697.25,668,365,975,573,1230,365,61,306,182,422
357,paren,2697.2,365,975,897,1230,573,141,304,163,318,130
358,tires,2696.8500000000004,729,670,897,1230,668,149,201,163,318,36
359,serin,2696.55,668,1230,897,670,573,365,241,163,158,130
360,slake,2696.05,668,716,975,210,1230,365,200,306,55,422
361,aloed,2695.4000000000005,975,716,753,1230,393,140,200,243,318,118
362,trope,2694.65,729,897,753,365,1230,149,267,243,50,422
363,salep,2694.4500000000003,668,975,716,1230,365,365,304,112,318,56
364,neato,2694.45,573,1230,975,729,753,37,241,306,139,58
365,maise,2693.9500000000003,316,975,670,668,1230,107,304,266,171,422
366,orles,2693.5,753,897,716,1230,668,41,267,112,318,36
367,tenor,2692.05,729,1230,573,753,897,149,241,137,132,212
368,vaire,2691.4500000000003,152,975,670,897,1230,43,304,266,150,422
369,sceat,2691.0000000000005,668,475,1230,975,729,365,40,177,162,253
370,socle,2690.9000000000005,668,753,475,716,1230,365,279,56,162,422
371,daine,2690.8,393,975,670,573,1230,111,304,266,182,422
372,ariot,2689.3,975,897,670,753,729,140,267,266,132,253
373,suite,2689.3,668,466,670,729,1230,365,185,266,139,422
374,samel,2689.1,668,975,316,1230,716,365,304,61,318,155
375,aeons,2688.3500000000004,975,1230,753,573,668,140,241,243,182,36
376,naice,2688.2,573,975,670,475,1230,37,304,266,150,422
377,tinea,2687.9500000000003,729,670,573,1230,975,149,201,137,318,63
378,tesla,2687.65,729,1230,668,716,975,149,241,80,162,63
379,clote,2687.55,475,716,753,729,1230,198,200,243,139,422
380,rinse,2687.1,897,670,573,668,1230,105,201,137,171,422
381,hares,2686.8500000000004,387,975,897,1230,668,69,304,163,318,36
382,apter,2686.7000000000003,975,365,729,1230,897,140,61,111,318,212
383,earth,2686.65,1230,975,897,729,387,72,304,163,139,137
384,lanes,2686.0000000000005,716,975,573,1230,668,87,304,137,318,36
385,leany,2685.9,716,1230,975,573,424,87,241,306,182,364
386,plane,2685.4,365,716,975,573,1230,141,200,306,182,422
387,acoel,2685.15,975,475,753,1230,716,140,40,243,318,155
388,recal,2684.7,897,1230,475,975,716,105,241,56,162,155
389,togae,2683.9000000000005,729,753,310,975,1230,149,279,67,162,422
390,areic,2683.7000000000003,975,897,1230,670,475,140,267,177,158,31
391,resit,2683.3500000000004,897,1230,668,670,729,105,241,80,158,253
392,tride,2683.3,729,897,670,393,1230,149,267,266,69,422
393,dorse,2683.25,393,753,897,668,1230,111,279,163,171,422
394,noser,2683.25,573,753,668,1230,897,37,279,80,318,212
395,ceorl,2683.2000000000003,475,1230,753,897,716,198,241,243,150,155
396,thane,2683.05,729,387,975,573,1230,149,144,306,182,422
397,deary,2682.8500000000004,393,1230,975,897,424,111,241,306,150,364
398,laree,2682.2,716,975,897,1230,1230,87,304,163,318,422
399,crena,2681.65,475,897,1230,573,975,198,267,177,182,63
400,oread,2680.65,753,897,1230,975,393,41,267,177,162,118
401,soger,2680.35,668,753,310,1230,897,365,279,67,318,212
402,elain,2679.9,1230,716,975,670,573,72,200,306,158,130
403,carpe,2679.7500000000005,475,975,897,365,1230,198,304,163,50,422
404,brose,2679.6,280,897,753,668,1230,173,267,243,171,422
405,afore,2679.55,975,229,753,897,1230,140,8,243,150,422
406,raned,2679.3,897,975,573,1230,393,105,304,137,318,118
407,crest,2679.15,475,897,1230,668,729,198,267,177,171,253
408,cared,2678.95,475,975,897,1230,393,198,304,163,318,118
409,lance,2677.9500000000003,716,975,573,475,1230,87,304,137,150,422
410,cates,2677.5000000000005,475,975,729,1230,668,198,304,111,318,36
411,moire,2677.1000000000004,316,753,670,897,1230,107,279,266,150,422
412,liner,2677.05,716,670,573,1230,897,87,201,137,318,212
413,prise,2676.65,365,897,670,668,1230,141,267,266,171,422
414,smear,2676.6000000000004,668,316,1230,975,897,365,38,177,162,212
415,rimae,2676.35,897,670,316,975,1230,105,201,61,162,422
416,repat,2675.9,897,1230,365,975,729,105,241,57,162,253
417,water,2675.9,194,975,729,1230,897,82,304,111,318,212
418,maerl,2675.55,316,975,1230,897,716,107,304,177,150,155
419,spire,2675.3,668,365,670,897,1230,365,61,266,150,422
420,bares,2674.8,280,975,897,1230,668,173,304,163,318,36
421,corey,2673.3500000000004,475,753,897,1230,424,198,279,163,318,364
422,smore,2673.3,668,316,753,897,1230,365,38,243,150,422
423,leans,2672.5000000000005,716,1230,975,573,668,87,241,306,182,36
