Rank,Word,Score,Top 5 Words
175,baste,3.136070549935553,"roily, crony, corny, drily, irony"
176,shalt,3.1358119689217734,"crone, crine, corey, poire, noire"
177,paste,3.135152724793069,"roily, crony, corny, drily, irony"
178,smote,3.1338413639855824,"rainy, lairy, clary, clair, dairy"
179,spade,3.131662789299141,"roily, crony, triol, corny, rioty"
180,smite,3.129828990547593,"roany, coaly, clary, goary, hoary"
181,tribe,3.1270177850187477,"coaly, soapy, shaly, sloan, saucy"
182,cagey,3.126912296736167,"roist, snort, short, snirt, shirt"
183,steal,3.1263105404806897,"crony, corny, irony, briny, drony"
184,table,3.125524761440402,"crony, prosy, corny, irony, shiny"
185,great,3.122477543156558,"soily, sonly, souly, shily, shiny"
186,brave,3.121417718672548,"soily, sonly, souly, suint, stony"
187,shave,3.121036382518708,"roily, crony, triol, corny, print"
188,trial,3.120896303066613,"sonce, souce, shone, coney, sonde"
189,chore,3.1208870121745123,"saint, slant, slaty, sault, salty"
190,phase,3.1193952697261738,"roily, crony, triol, corny, drily"
191,cleat,3.1185048559315405,"brosy, prosy, irony, briny, shiny"
192,taker,3.1090411988687303,"soily, sonly, souly, shily, shiny"
193,poser,3.103652294958549,"laity, daily, naily, daint, gaily"
194,trove,3.1024148559955904,"slain, shaly, saucy, slaid, sadly"
195,those,3.1013102321917003,"rainy, lairy, clary, clair, dairy"
196,rinse,3.099053018672669,"coaly, boaty, goaty, toady, coady"
197,yeast,3.098806017176285,"broil, droil, proin, prion, clour"
198,shied,3.096585011407555,"roany, coaly, boart, orant, clart"
199,pried,3.096048522418912,"slant, slaty, sault, coast, salty"
200,adore,3.095357673604676,"suint, shily, sluit, silty, shiny"
201,elate,3.095269776006164,"crony, brosy, prosy, corny, irony"
202,aider,3.094018956367468,"sonly, souly, stony, souct, sloth"
203,range,3.093013940793834,"soily, souly, souct, shily, sluit"
204,boney,3.091454666519601,"slart, sault, shart, stair, trail"
205,scree,3.091274820223353,"laity, boaty, paint, daily, goaty"
206,curse,3.091108861667556,"laity, boaty, paint, daily, goaty"
207,snarl,3.090884379201837,"boite, motey, fouet, comet, deity"
208,worse,3.089719333950132,"laity, paint, daily, naily, daint"
209,haute,3.088765534088551,"soily, roily, sonly, crony, brosy"
210,surge,3.08798432764629,"coaly, laity, boaty, paint, daily"
211,goner,3.0868516600093763,"slaty, sault, salty, saith, shalt"
212,spice,3.0860410474132807,"roany, boart, orant, brant, goary"
213,carve,3.085796030213344,"soily, sonly, souly, suint, stony"
214,solve,3.0848851829653894,"rainy, brant, riant, praty, train"
215,liner,3.0834923500652422,"coast, soapy, boast, shoat, saucy"
216,blade,3.083191918222713,"roist, crost, story, snort, short"
217,train,3.0821161826024257,"souce, socle, close, slope, soled"
218,barge,3.0819482085420287,"soily, sonly, souly, suint, stony"
219,spear,3.079730011262294,"doilt, doily, clint, noily, moity"
220,boast,3.079110006845374,"crine, cline, plier, urine, price"
221,brute,3.0783346355868755,"soily, coaly, soapy, slain, shaly"
222,super,3.076891049652307,"coaly, laity, boaty, daily, goaty"
223,eater,3.075722705183552,"soily, sonly, souly, shily, shiny"
224,lapse,3.0737173723468043,"crony, corny, droit, rioty, irony"
225,swine,3.0729046457455302,"coaly, boart, clart, clary, praty"
226,spree,3.072275271633459,"coaly, laity, boaty, daily, goaty"
227,state,3.071256723749392,"roily, crony, corny, drily, irony"
228,cable,3.0703100128606544,"roist, story, snort, short, snirt"
229,prune,3.0673292918989823,"slaty, soily, coast, salty, coaly"
230,bride,3.067318357543656,"slant, slaty, sault, coast, salty"
231,snide,3.067040653039169,"coaly, boart, clart, clary, praty"
232,pride,3.066400532401172,"slant, slaty, sault, coast, salty"
233,scary,3.065943701801883,"toile, boite, moile, tuile, bolet"
234,grave,3.0630339818819285,"soily, sonly, souly, suint, stony"
235,valet,3.0593699592745898,"crony, brosy, prosy, corny, irony"
236,steer,3.058723800854315,"coaly, daily, naily, moany, gaily"
237,tread,3.0583902487832955,"soily, sonly, souly, shily, shiny"
238,alike,3.0578551204618423,"crost, story, snort, short, crony"
239,boule,3.057189708727786,"saint, stary, shart, stair, snary"
240,haste,3.0557081502258034,"roily, crony, corny, drily, irony"
241,payer,3.0555998610846693,"suint, souct, sluit, sloth, doilt"
242,saucy,3.05423935430382,"trone, trine, toile, poire, prole"
243,force,3.053462172084068,"saint, slant, slaty, sault, salty"
244,leash,3.0526466082267536,"crony, corny, print, droit, rioty"
245,dance,3.0508647199931187,"soily, roist, roily, souly, story"
246,dairy,3.047983706854198,"stole, stone, sonce, souce, shote"
247,blame,3.0465642100669426,"roist, crost, story, snort, short"
248,chose,3.046095483611953,"trail, rainy, lairy, trial, brant"
249,stray,3.0433075039602606,"clone, cline, moile, louie, voile"
250,story,3.042755423898949,"baile, aline, liane, daine, maile"
251,grant,3.04091235982934,"slice, souce, socle, slide, poise"
252,reach,3.039630951254072,"soily, sonly, souly, suint, stony"
253,realm,3.032897976620889,"suint, stony, souct, shiny, point"
254,camel,3.030905889652491,"roist, story, snort, short, snirt"
255,prime,3.0297728242454007,"slant, slaty, sault, coast, salty"
256,terse,3.0290607519405315,"coaly, daily, naily, moany, gaily"
257,snipe,3.02718236100554,"coaly, boart, clart, clary, goary"
258,fried,3.026412070271196,"slant, slaty, sault, coast, salty"
259,money,3.0258693204924034,"slart, sault, shart, stair, trail"
260,glade,3.024808181432093,"roist, crost, story, snort, short"
261,stoke,3.0238715157138705,"rainy, lairy, clary, clair, dairy"
262,smear,3.023056160568939,"doilt, point, doily, clint, noily"
263,trash,3.022159238904763,"clone, cline, coley, moile, coney"
264,leapt,3.022157404396976,"crony, brosy, corny, irony, briny"
265,renal,3.0218354841688164,"souct, moist, foist, hoist, tousy"
266,singe,3.018601888618466,"coaly, boart, clart, clary, praty"
267,teach,3.0175191038008817,"soily, roily, sonly, souly, surly"
268,beard,3.017443571839719,"soily, sonly, souly, suint, stony"
269,alive,3.017097573401224,"crost, story, snort, short, crony"
270,facet,3.016132430718779,"soily, roily, sonly, souly, surly"
271,ramen,3.0161321743102647,"soily, souly, souct, shily, sluit"
272,nosey,3.015685391069817,"trail, clart, trial, liart, clair"
273,sadly,3.0153490567027306,"trone, trine, crone, crine, trice"
274,satin,3.0133554103398827,"corey, prole, drole, porey, roule"
275,cairn,3.011625085847889,"stole, shote, slope, soled, soyle"
276,honey,3.011092266809851,"slart, sault, stair, trail, clart"
277,smart,3.0110672807776577,"clone, cline, coley, coney, louie"
278,salon,3.0098088287410336,"trice, cruet, tried, frite, tride"
279,snort,3.0071313686490297,"baile, maile, laide, place, clade"
280,short,3.0070277369996763,"baile, aline, liane, daine, maile"
281,crony,3.0042815071042304,"slate, salet, stale, saute, shale"
282,shirt,3.003015363561687,"alone, plane, canoe, leany, flane"
283,bluer,3.002996228950431,"saint, coast, soapy, saith, shoat"
284,comet,3.002852043142676,"saury, snary, rainy, sarin, lairy"
285,fairy,3.0028387423777287,"stole, stone, sonce, souce, shote"
286,sneer,3.0023027673453724,"coaly, laity, boaty, daily, goaty"
287,sheer,3.002199135696019,"coaly, laity, boaty, paint, daily"
288,scaly,3.000280854700228,"trone, trine, poire, noire, goier"
289,tenor,2.99918367886898,"shaly, saucy, slaid, sadly, scaly"
290,snail,2.998494573126309,"corey, rouet, porey, cruet, trode"
291,afire,2.9984852868445837,"sonly, souly, stony, souct, sloth"
292,bleat,2.998275388164493,"crony, prosy, corny, irony, shiny"
293,gayer,2.998133949436534,"suint, souct, sluit, sloth, doilt"
294,pleat,2.997357563022009,"crony, brosy, corny, irony, briny"
295,gamer,2.9959705055871413,"soily, sonly, souly, suint, stony"
296,hairy,2.993030619958179,"stole, stone, sonce, souce, socle"
297,paint,2.9907121172271585,"sorel, soler, soree, shoer, sored"
298,lathe,2.987697062655513,"crony, brosy, prosy, corny, irony"
299,scant,2.984180624503597,"poire, prole, oriel, drole, goier"
300,poesy,2.98365087573854,"trail, clart, trial, brant, riant"
301,tower,2.9836339758738526,"slain, shaly, saucy, slaid, sadly"
302,waste,2.98363063223441,"roily, crony, corny, drily, irony"
303,gruel,2.98352056345018,"saint, coast, soapy, saith, boast"
304,stove,2.983113968653252,"rainy, lairy, clary, clair, dairy"
305,artsy,2.9828190983658254,"clone, cline, moile, louie, voile"
306,mouse,2.982475681239684,"trail, rainy, lairy, clart, trial"
307,daily,2.9823208597525435,"soree, trone, store, crone, shoer"
308,earth,2.981961211262279,"soily, sonly, souly, sloid, doily"
309,stern,2.981460773630289,"coaly, daily, gaily, haily, bialy"
310,peace,2.981200362611921,"soily, roist, roily, sonly, souly"
311,naive,2.97864756567141,"crost, souly, story, short, surly"
312,deity,2.9782205388039995,"soral, solar, sonar, snarl, sloan"
313,whale,2.9770018586284204,"roist, crost, story, snort, crony"
314,graze,2.9762273960258936,"soily, sonly, souly, suint, stony"
315,swear,2.9762193343122845,"doilt, point, doily, clint, noily"
316,flame,2.9760099327767424,"roist, crost, story, snort, short"
317,slept,2.975959491075968,"roany, rainy, goary, hoary, dairy"
318,sedan,2.974473326654238,"roily, triol, rioty, griot, truly"
319,agile,2.974325057371043,"crost, story, snort, short, crony"
320,daisy,2.9731921782916384,"trone, crone, prole, toner, prone"
321,grope,2.973088702157397,"saint, slant, slaty, sault, salty"
322,grime,2.972306912597265,"slant, slaty, sault, coast, salty"
323,trite,2.9717684190132045,"coaly, soapy, shaly, sloan, saucy"
324,yearn,2.970803165892736,"souct, sluit, sloth, doilt, slipt"
325,purse,2.9699615687580243,"coaly, laity, boaty, daily, goaty"
326,guile,2.969809340546728,"roast, stary, roany, sonar, shart"
327,coral,2.969541935741596,"seity, suite, shite, shine, seine"
328,sheet,2.969215383674647,"roany, coaly, rainy, lairy, clary"
329,gripe,2.969076328719407,"slant, slaty, sault, coast, salty"
330,motel,2.9689332703033764,"saury, snary, rainy, sarin, scary"
331,broke,2.967728186709415,"saint, slant, slaty, sault, salty"
332,house,2.9676986275571315,"trail, rainy, lairy, clart, trial"
333,crash,2.9669444903250155,"toile, boite, toney, moile, tuile"
334,laden,2.9668644242337154,"roist, crost, story, short, shirt"
335,diner,2.9656541187558547,"slaty, sault, coast, salty, coaly"
336,surly,2.9655812896946,"coate, daine, faine, canoe, diane"
337,three,2.965389280696881,"soily, coaly, soapy, slain, sloan"
338,carol,2.964072072383393,"seity, suite, shite, shine, seine"
339,spied,2.962851326855139,"roany, coaly, boart, orant, clart"
340,stain,2.9628152952600875,"corey, prole, drole, porey, roule"
341,copse,2.9627700066374327,"trail, rainy, lairy, trial, brant"
342,heist,2.9617454386163447,"roany, coaly, clary, goary, carny"
343,guise,2.9606806590858232,"roany, coaly, boart, orant, clart"
344,outer,2.9590792203510623,"slain, shaly, slaid, sadly, scaly"
345,voter,2.958073861125853,"slain, shaly, saucy, slaid, sadly"
346,probe,2.9546681169674587,"saint, slant, slaty, sault, salty"
347,hotel,2.954156216620824,"saury, snary, rainy, sarin, scary"
348,diary,2.9535232791047683,"stole, stone, sonce, souce, shote"
349,crier,2.9530552993739416,"slant, slaty, sault, salty, loast"
350,voice,2.9520788756531653,"slart, slant, slaty, saury, stary"
351,gaily,2.949346435775653,"soree, trone, store, crone, shoer"
352,shoal,2.949083124003968,"trine, crine, trice, brine, cruet"
353,filer,2.9490021294916278,"coast, saunt, soapy, boast, shoat"
354,beady,2.948789799675924,"roist, crost, snort, short, snirt"
355,rouge,2.946658132976858,"saint, slant, slaty, salty, slain"
356,crude,2.9452645989503736,"saint, slant, slaty, soily, salty"
357,blast,2.944478731832025,"crone, crine, corey, poire, noire"
358,cameo,2.944140222663984,"snirt, shirt, suint, surly, shily"
359,sweat,2.943235582290913,"roily, crony, corny, drily, irony"
360,cover,2.943151658511145,"saint, slant, slaty, sault, salty"
361,tiger,2.9429878953851385,"coaly, soapy, shaly, sloan, saucy"
362,harem,2.942773432169978,"soily, sonly, souly, suint, stony"
363,style,2.9414299217841897,"cairn, caird, brain, aroid, bairn"
364,grail,2.940388540840176,"stone, sonce, souce, shote, shone"
365,feral,2.940215474626811,"suint, stony, souct, shiny, point"
366,stony,2.94019536834164,"raile, ariel, carle, paire, blaer"
367,stead,2.939089361440957,"roily, crony, corny, irony, briny"
368,argue,2.9377360247823527,"soily, sonly, stony, shily, silty"
369,leaky,2.9376161738993503,"roist, crost, snort, short, snirt"
370,cider,2.9375232251614136,"slant, slaty, sault, salty, loast"
371,heard,2.937081172129969,"soily, sonly, souly, suint, stony"
372,timer,2.936878578513383,"coaly, soapy, shaly, sloan, saucy"
373,piney,2.9363648761467047,"slart, roast, soral, solar, sault"
374,nurse,2.935775395149688,"coaly, laity, boaty, daily, goaty"
375,leach,2.934503805949745,"roist, story, snort, snirt, suint"
376,triad,2.9336751240268804,"sonce, souce, socle, shone, close"
377,baker,2.9335969825219363,"soily, sonly, souly, suint, stony"
378,party,2.9318176555376088,"slice, sonce, souce, socle, shone"
379,anode,2.931714333614472,"shirt, surly, shily, sluit, silty"
380,cower,2.928419227294105,"saint, slant, slaty, sault, salty"
381,spelt,2.928333956664031,"roany, rainy, goary, hoary, dairy"
382,frail,2.928218000340596,"stone, sonce, souce, shote, shone"
383,shove,2.926589303494956,"trail, rainy, lairy, clart, trial"
384,prove,2.926052814506312,"saint, slant, slaty, sault, salty"
385,plait,2.9259626291765715,"soree, crone, shoer, sored, snore"
386,miner,2.9254780855423874,"slaty, sault, coast, salty, coaly"
387,maple,2.924831789284854,"roist, crost, story, snort, short"
388,brief,2.923649836779759,"slant, slaty, sault, coast, salty"
389,raven,2.9234480376573613,"soily, souly, souct, shily, sluit"
390,serif,2.9211566923806656,"coaly, boaty, goaty, moany, toady"
391,faint,2.921075665079443,"sorel, soler, soree, shoer, sored"
392,finer,2.920509154279385,"slaty, sault, coast, salty, coaly"
393,cutie,2.9199812926293016,"soral, solar, roany, sonar, snary"
394,leafy,2.9178217780324776,"roist, crost, snort, short, snirt"
395,delay,2.9172601729792653,"roist, crost, snort, short, snirt"
396,death,2.917127368468025,"soily, roily, sonly, souly, crony"
397,bagel,2.9167857387572,"roist, crost, story, snort, short"
398,scope,2.9163569668316547,"trail, rainy, lairy, trial, brant"
399,filet,2.9160183774702557,"saury, roany, sonar, snary, soapy"
400,satyr,2.915936866175924,"clone, cline, moile, louie, voile"
401,plant,2.915792379694791,"soree, crise, shoer, shier, siree"
402,clean,2.9157104760854318,"roist, story, short, shirt, prost"
403,lover,2.9153511092397557,"saint, saunt, saith, saucy, satin"
404,steel,2.915045980361999,"roany, rainy, goary, hoary, dairy"
405,slang,2.914608011490138,"corey, trice, poire, rouet, moire"
406,cedar,2.9144170344529776,"soily, sonly, souly, suint, stony"
407,creak,2.91416524673982,"soily, sonly, souly, suint, stony"
408,plied,2.913462630636227,"roast, saury, stary, roany, sonar"
409,risen,2.912176086803125,"coaly, boaty, goaty, toady, coady"
410,surer,2.9116688375670456,"coaly, laity, boaty, paint, daily"
411,greet,2.9112129830378675,"soily, coaly, soapy, slain, shaly"
412,merit,2.910739212809994,"coaly, soapy, shaly, sloan, saucy"
413,scent,2.91043629679827,"lairy, goary, roily, hoary, dairy"
414,beret,2.910199260269265,"soily, coaly, soapy, slain, shaly"
415,covet,2.9101679064897725,"saury, snary, rainy, sarin, lairy"
416,flake,2.9090350966602827,"roist, crost, story, snort, short"
417,sandy,2.909009536564154,"toile, trice, poire, prole, oriel"
418,wager,2.9080236415483727,"soily, sonly, souly, suint, stony"
419,brain,2.9066719662556317,"stole, souce, shote, socle, close"
420,chart,2.9056403919546865,"slide, seine, poise, soily, solei"
421,parer,2.9047148933203,"soily, sonly, souly, suint, stony"
422,corny,2.904129514920972,"slate, salet, stale, saute, shale"
423,shard,2.903559568512751,"toile, boite, toney, clote, clone"
424,trend,2.90308073775075,"soily, coaly, soapy, shaly, saucy"
425,sepia,2.9021506798365166,"crony, corny, drony, truly, front"
426,drove,2.901561326835066,"saint, slant, slaty, sault, salty"
427,enact,2.9013585783773284,"soily, roily, souly, surly, shily"
428,wrest,2.90088037820824,"coaly, daily, naily, moany, gaily"
429,lower,2.900618678022717,"saint, saunt, saith, saucy, satin"
430,print,2.899918819015734,"shale, slade, soave, sauce, alose"
431,repay,2.898604193148027,"suint, souct, sluit, sloth, doilt"
432,utile,2.898511246338637,"roany, sonar, snary, soapy, goary"
433,drive,2.8975489533970764,"slant, slaty, sault, coast, salty"
434,phone,2.8971796637076723,"slart, slaty, saury, stary, sault"
435,elite,2.8968103235444214,"saury, roany, sonar, snary, soapy"
436,bathe,2.895268144159856,"soily, roily, sonly, souly, crony"
437,savor,2.894780779340373,"cline, tuile, blite, thine, cluey"
438,spent,2.8914367482083767,"coaly, lairy, clary, clair, goary"
439,anime,2.891074252020712,"crost, souly, story, short, surly"
440,horde,2.890816339088637,"saint, slant, slaty, sault, salty"
441,droit,2.889609954264259,"slane, shale, sauce, scale, salue"
